imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,budget_,usa_gross_income_,worlwide_gross_income_,usa_revenue,worlwide_revenue,Main Actor,Main Director,Main Writer,Main genre,Main Language,Main Country,movie_ID
tt1449283,Winnie the Pooh - Nuove avventure nel Bosco dei Cento Acri,Winnie the Pooh,2011,2011-04-20,"Animation, Adventure, Comedy",63,USA,English,"Stephen J. Anderson, Don Hall","Stephen J. Anderson, Clio Chiang",Walt Disney Pictures,"John Cleese, Jim Cummings, Bud Luckey, Craig Ferguson, Jack Boulter, Travis Oates, Kristen Anderson-Lopez, Wyatt Dean Hall, Tom Kenny, Huell Howser, Lisa Linder, Robert Lopez","While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson.",7.2,21288,$ 30000000,$ 26692846,$ 49871429,74.0,69.0,164.0,30000000.0,26692846.0,49871429.0,-3307154,19871429,John Cleese,Stephen J. Anderson,Stephen J. Anderson,Animation,English,USA,6143
tt1453405,Monsters University,Monsters University,2013,2013-08-21,"Animation, Adventure, Comedy",104,USA,English,Dan Scanlon,"Dan Scanlon, Daniel Gerson",Walt Disney Pictures,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren, Peter Sohn, Joel Murray, Sean Hayes, Dave Foley, Charlie Day, Alfred Molina, Tyler Labine, Nathan Fillion, Aubrey Plaza, Bobby Moynihan, Noah Johnston","A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",7.3,313986,$ 200000000,$ 268492764,$ 743559607,65.0,336.0,395.0,200000000.0,268492764.0,743559607.0,68492764,543559607,Billy Crystal,Dan Scanlon,Dan Scanlon,Animation,English,USA,6146
tt1623205,Il grande e potente Oz,Oz the Great and Powerful,2013,2013-03-07,"Adventure, Family, Fantasy",130,USA,English,Sam Raimi,"Mitchell Kapner, David Lindsay-Abaire",Walt Disney Pictures,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams, Zach Braff, Bill Cobbs, Joey King, Tony Cox, Stephen R. Hart, Abigail Spencer, Bruce Campbell, Ted Raimi, Tim Holmes, Toni Wynne, Rob Crites","A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers.",6.3,197337,$ 215000000,$ 234911825,$ 493311825,44.0,539.0,545.0,215000000.0,234911825.0,493311825.0,19911825,278311825,James Franco,Sam Raimi,Mitchell Kapner,Adventure,English,USA,6383
tt1647668,Million Dollar Arm,Million Dollar Arm,2014,2014-05-16,"Biography, Drama, Sport",124,USA,"English, Hindi",Craig Gillespie,Tom McCarthy,Walt Disney Pictures,"Jon Hamm, Pitobash, Suraj Sharma, Madhur Mittal, Aasif Mandvi, Darshan Jariwala, Lake Bell, Alan Arkin, Bill Paxton, Gregory Alan Williams, Allyn Rachel, Tzi Ma, Rey Maualuga, Bar Paly, Jaspaul Sandhu",A sports agent stages an unconventional recruitment strategy to get talented Indian cricket players to play Major League Baseball.,7.0,42861,$ 25000000,$ 36457627,$ 38483455,56.0,109.0,153.0,25000000.0,36457627.0,38483455.0,11457627,13483455,Jon Hamm,Craig Gillespie,Tom McCarthy,Biography,English,USA,6414
tt1698641,Una fantastica e incredibile giornata da dimenticare,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,2014-10-10,"Comedy, Family",81,USA,English,Miguel Arteta,"Rob Lieber, Rob Lieber",Walt Disney Pictures,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette, Kerris Dorsey, Elise Vargas, Zoey Vargas, Sidney Fullmer, Bella Thorne, Megan Mullally, Mekai Curtis, Lincoln Melcher, Reese Hartwig, Martha Hackett, Mary Mouser","Alexander's day begins with gum stuck in his hair, followed by more calamities. However, he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother and sister - who all find themselves living through their own terrible, horrible, no good, very bad day.",6.2,39946,$ 28000000,$ 66954149,$ 100654149,54.0,109.0,123.0,28000000.0,66954149.0,100654149.0,38954149,72654149,Steve Carell,Miguel Arteta,Rob Lieber,Comedy,English,USA,6492
tt1790809,Pirati dei Caraibi - La vendetta di Salazar,Pirates of the Caribbean: Dead Men Tell No Tales,2017,2017-05-24,"Action, Adventure, Fantasy",129,"USA, Australia, UK, Canada","English, Spanish","Joachim Rønning, Espen Sandberg","Jeff Nathanson, Jeff Nathanson",Walt Disney Pictures,"Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario, Kevin McNally, Golshifteh Farahani, David Wenham, Stephen Graham, Angus Barnett, Martin Klebba, Adam Brown, Giles New, Orlando Bloom, Keira Knightley",Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,6.6,254613,$ 230000000,$ 172558876,$ 794878815,39.0,650.0,413.0,230000000.0,172558876.0,794878815.0,-57441124,564878815,Johnny Depp,Joachim Rønning,Jeff Nathanson,Action,English,USA,6598
tt1964418,Tomorrowland - Il mondo di domani,Tomorrowland,2015,2015-05-21,"Action, Adventure, Family",130,"USA, Spain, France, Canada, UK","English, French, Japanese",Brad Bird,"Damon Lindelof, Brad Bird",Walt Disney Pictures,"George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy, Tim McGraw, Kathryn Hahn, Keegan-Michael Key, Chris Bauer, Thomas Robinson, Pierce Gagnon, Matthew MacCaull, Judy Greer, Matthew Kevin Anderson, Michael Giacchino, D. Harlan Cutshall","Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.",6.4,169586,$ 190000000,$ 93436322,$ 209035668,60.0,593.0,475.0,190000000.0,93436322.0,209035668.0,-96563678,19035668,George Clooney,Brad Bird,Damon Lindelof,Action,English,USA,6756
tt2025690,L'ultima tempesta,The Finest Hours,2016,2016-03-31,"Action, Drama, History",117,USA,English,Craig Gillespie,"Scott Silver, Paul Tamasy",Walt Disney Pictures,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana, Holliday Grainger, John Ortiz, Kyle Gallner, John Magaro, Graham McTavish, Michael Raymond-James, Beau Knapp, Josh Stewart, Abraham Benrubi, Keiynan Lonsdale, Rachel Brosnahan",The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,6.8,60434,$ 80000000,$ 27569558,$ 52099090,58.0,201.0,202.0,80000000.0,27569558.0,52099090.0,-52430442,-27900910,Chris Pine,Craig Gillespie,Scott Silver,Action,English,USA,6819
tt2140373,Saving Mr. Banks,Saving Mr. Banks,2013,2014-02-20,"Biography, Comedy, Drama",125,"USA, UK, Australia",English,John Lee Hancock,"Kelly Marcel, Sue Smith",Walt Disney Pictures,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell, Ruth Wilson, Paul Giamatti, Bradley Whitford, B.J. Novak, Jason Schwartzman, Lily Bigham, Kathy Baker, Melanie Paxson, Andy McPhee, Rachel Griffiths, Ronan Vibert",Author,7.5,149140,$ 35000000,$ 83301580,$ 117867984,65.0,355.0,422.0,35000000.0,83301580.0,117867984.0,48301580,82867984,Emma Thompson,John Lee Hancock,Kelly Marcel,Biography,English,USA,6896
tt2281587,Muppets 2 - Ricercati,Muppets Most Wanted,2014,2014-03-21,"Adventure, Comedy, Crime",107,USA,"English, German",James Bobin,"James Bobin, Nicholas Stoller",Walt Disney Pictures,"Ricky Gervais, Ty Burrell, Tina Fey, Steve Whitmire, Eric Jacobson, Dave Goelz, Bill Barretta, David Rudman, Matt Vogel, Peter Linz, Tony Bennett, Hugh Bonneville, William Brand, Andrés Cantor, Jemaine Clement","While on a grand world tour,",6.4,30943,$ 50000000,$ 51183113,$ 80383113,61.0,125.0,282.0,50000000.0,51183113.0,80383113.0,1183113,30383113,Ricky Gervais,James Bobin,James Bobin,Adventure,English,USA,6979
tt2380307,Coco,Coco,2017,2017-12-28,"Animation, Adventure, Family",105,USA,"English, Spanish","Lee Unkrich, Adrian Molina","Lee Unkrich, Jason Katz",Walt Disney Pictures,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor, Jaime Camil, Alfonso Arau, Herbert Siguenza, Gabriel Iglesias, Lombardo Boyar, Ana Ofelia Murguía, Natalia Cordova-Buckley, Selene Luna, Edward James Olmos, Sofía Espinosa","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",8.4,352455,$ 175000000,$ 209726015,$ 807083670,81.0,1101.0,408.0,175000000.0,209726015.0,807083670.0,34726015,632083670,Anthony Gonzalez,Lee Unkrich,Lee Unkrich,Animation,English,USA,7066
